Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
20/08/2025 08:45,118.9501,9886.31,6685.80138,2739.20862,-430.77,ACTUAL
20/08/2025 08:50,99.8669,9809.91,6569.38574,2788.17426,-424.49,ACTUAL
20/08/2025 08:55,74.89988,9749.28,6380.09934,2832.35066,-513.06,ACTUAL
20/08/2025 09:00,73.7612,9671.97,6233.487,2875.173,-531.99,ACTUAL
20/08/2025 09:05,96.62638,9664.95,6279.09759,2888.17241,-466.04,ACTUAL
20/08/2025 09:10,174.63758,9590.43,6346.25001,3130.56999,-105.14,ACTUAL
20/08/2025 09:15,91.23765,9573.62,6221.46482,3178.39518,-163.86,ACTUAL
20/08/2025 09:20,175.05364,9546.13,6262.95564,3156.98436,-119.42,ACTUAL
20/08/2025 09:25,108.8901,9574.51,6241.10817,3136.90183,-190.57,ACTUAL
20/08/2025 09:30,104.31597,9572.51,6217.89671,3014.81329,-327.33,ACTUAL
20/08/2025 09:35,95.88377,9563.24,6153.1582,2995.9618,-404.62,ACTUAL
20/08/2025 09:40,102.59538,9549.05,6112.02049,2925.46951,-501.55,ACTUAL
20/08/2025 09:45,94.39801,9456.5,6044.48161,3001.79839,-406.82,ACTUAL
20/08/2025 09:50,81.23276,9407.89,5987.74682,3004.73318,-411.24,ACTUAL
20/08/2025 09:55,76.80005,9370.36,5962.18518,2940.02482,-462.62,ACTUAL
20/08/2025 10:00,76.80005,9323.68,5913.76651,3091.12349,-316.23,ACTUAL
20/08/2025 10:05,76.80005,9253.77,5849.4594,3023.0506,-377.61,ACTUAL
20/08/2025 10:10,64.76585,9297.76,5759.31153,2948.16847,-580.73,ACTUAL
20/08/2025 10:15,66.34524,9365.54,5696.63031,2867.55969,-783.2,ACTUAL
20/08/2025 10:20,64.80648,9416.69,5590.82938,2875.13062,-923.7,ACTUAL
20/08/2025 10:25,67.2103,9548.87,5519.14987,2874.36013,-1117.69,ACTUAL
20/08/2025 10:30,85.87,9497.88,5504.10586,2834.71414,-1122.65,ACTUAL
20/08/2025 10:35,90.60777,9523.81,5485.38542,2782.57458,-1211.72,ACTUAL
20/08/2025 10:40,100.78533,9749.36,5493.66537,2781.91463,-1413.15,ACTUAL
20/08/2025 10:45,92.7417,9734.49,5455.63632,2804.21368,-1413.57,ACTUAL
20/08/2025 10:50,87.71783,9692.01,5421.26672,2785.90328,-1419.24,ACTUAL
20/08/2025 10:55,67.31486,9710.01,5370.17794,2829.65206,-1445.64,ACTUAL
20/08/2025 11:00,84.79,9656.54,5356.22545,2874.82455,-1367.7,ACTUAL
20/08/2025 11:05,84.79,9649.73,5251.94484,2826.55516,-1503.15,ACTUAL
20/08/2025 11:10,100.90662,9695.01,5168.97419,2850.58581,-1600.07,ACTUAL
20/08/2025 11:15,60.35414,9556.05,5060.53177,2850.10823,-1572.23,ACTUAL
20/08/2025 11:20,45.37628,9549.09,5007.64215,2790.34785,-1669.03,ACTUAL
