weekly,sin_week,cos_week
2020-07-06,1.0,6.123233995736766e-17
2020-07-13,1.2246467991473532e-16,-1.0
2020-07-20,-1.0,-1.8369701987210297e-16
2020-07-27,-2.4492935982947064e-16,1.0
2020-08-03,1.0,6.123233995736766e-17
2020-08-10,1.2246467991473532e-16,-1.0
2020-08-17,-1.0,-1.8369701987210297e-16
2020-08-24,-2.4492935982947064e-16,1.0
2020-08-31,1.0,3.061616997868383e-16
2020-09-07,1.0,6.123233995736766e-17
2020-09-14,1.2246467991473532e-16,-1.0
2020-09-21,-1.0,-1.8369701987210297e-16
2020-09-28,-2.4492935982947064e-16,1.0
2020-10-05,1.0,6.123233995736766e-17
2020-10-12,1.2246467991473532e-16,-1.0
2020-10-19,-1.0,-1.8369701987210297e-16
2020-10-26,-2.4492935982947064e-16,1.0
2020-11-02,1.0,6.123233995736766e-17
2020-11-09,1.2246467991473532e-16,-1.0
2020-11-16,-1.0,-1.8369701987210297e-16
2020-11-23,-2.4492935982947064e-16,1.0
2020-11-30,1.0,3.061616997868383e-16
2020-12-07,1.0,6.123233995736766e-17
2020-12-14,1.2246467991473532e-16,-1.0
2020-12-21,-1.0,-1.8369701987210297e-16
2020-12-28,-2.4492935982947064e-16,1.0
2021-01-04,1.0,6.123233995736766e-17
2021-01-11,1.2246467991473532e-16,-1.0
2021-01-18,-1.0,-1.8369701987210297e-16
2021-01-25,-2.4492935982947064e-16,1.0
2021-02-01,1.0,6.123233995736766e-17
2021-02-08,1.2246467991473532e-16,-1.0
2021-02-15,-1.0,-1.8369701987210297e-16
2021-02-22,-2.4492935982947064e-16,1.0
2021-03-01,1.0,6.123233995736766e-17
2021-03-08,1.2246467991473532e-16,-1.0
2021-03-15,-1.0,-1.8369701987210297e-16
2021-03-22,-2.4492935982947064e-16,1.0
2021-03-29,1.0,3.061616997868383e-16
2021-04-05,1.0,6.123233995736766e-17
2021-04-12,1.2246467991473532e-16,-1.0
2021-04-19,-1.0,-1.8369701987210297e-16
2021-04-26,-2.4492935982947064e-16,1.0
2021-05-03,1.0,6.123233995736766e-17
2021-05-10,1.2246467991473532e-16,-1.0
2021-05-17,-1.0,-1.8369701987210297e-16
2021-05-24,-2.4492935982947064e-16,1.0
2021-05-31,1.0,3.061616997868383e-16
2021-06-07,1.0,6.123233995736766e-17
2021-06-14,1.2246467991473532e-16,-1.0
2021-06-21,-1.0,-1.8369701987210297e-16
2021-06-28,-2.4492935982947064e-16,1.0
2021-07-05,1.0,6.123233995736766e-17
2021-07-12,1.2246467991473532e-16,-1.0
2021-07-19,-1.0,-1.8369701987210297e-16
2021-07-26,-2.4492935982947064e-16,1.0
2021-08-02,1.0,6.123233995736766e-17
2021-08-09,1.2246467991473532e-16,-1.0
2021-08-16,-1.0,-1.8369701987210297e-16
2021-08-23,-2.4492935982947064e-16,1.0
2021-08-30,1.0,3.061616997868383e-16
2021-09-06,1.0,6.123233995736766e-17
2021-09-13,1.2246467991473532e-16,-1.0
2021-09-20,-1.0,-1.8369701987210297e-16
2021-09-27,-2.4492935982947064e-16,1.0
2021-10-04,1.0,6.123233995736766e-17
2021-10-11,1.2246467991473532e-16,-1.0
2021-10-18,-1.0,-1.8369701987210297e-16
2021-10-25,-2.4492935982947064e-16,1.0
2021-11-01,1.0,6.123233995736766e-17
2021-11-08,1.2246467991473532e-16,-1.0
2021-11-15,-1.0,-1.8369701987210297e-16
2021-11-22,-2.4492935982947064e-16,1.0
2021-11-29,1.0,3.061616997868383e-16
2021-12-06,1.0,6.123233995736766e-17
2021-12-13,1.2246467991473532e-16,-1.0
2021-12-20,-1.0,-1.8369701987210297e-16
2021-12-27,-2.4492935982947064e-16,1.0
2022-01-03,1.0,6.123233995736766e-17
2022-01-10,1.2246467991473532e-16,-1.0
2022-01-17,-1.0,-1.8369701987210297e-16
2022-01-24,-2.4492935982947064e-16,1.0
2022-01-31,1.0,3.061616997868383e-16
2022-02-07,1.0,6.123233995736766e-17
2022-02-14,1.2246467991473532e-16,-1.0
2022-02-21,-1.0,-1.8369701987210297e-16
2022-02-28,-2.4492935982947064e-16,1.0
2022-03-07,1.0,6.123233995736766e-17
2022-03-14,1.2246467991473532e-16,-1.0
2022-03-21,-1.0,-1.8369701987210297e-16
2022-03-28,-2.4492935982947064e-16,1.0
2022-04-04,1.0,6.123233995736766e-17
2022-04-11,1.2246467991473532e-16,-1.0
2022-04-18,-1.0,-1.8369701987210297e-16
2022-04-25,-2.4492935982947064e-16,1.0
2022-05-02,1.0,6.123233995736766e-17
2022-05-09,1.2246467991473532e-16,-1.0
2022-05-16,-1.0,-1.8369701987210297e-16
2022-05-23,-2.4492935982947064e-16,1.0
2022-05-30,1.0,3.061616997868383e-16
2022-06-06,1.0,6.123233995736766e-17
2022-06-13,1.2246467991473532e-16,-1.0
2022-06-20,-1.0,-1.8369701987210297e-16
2022-06-27,-2.4492935982947064e-16,1.0
2022-07-04,1.0,6.123233995736766e-17
2022-07-11,1.2246467991473532e-16,-1.0
2022-07-18,-1.0,-1.8369701987210297e-16
2022-07-25,-2.4492935982947064e-16,1.0
2022-08-01,1.0,6.123233995736766e-17
2022-08-08,1.2246467991473532e-16,-1.0
2022-08-15,-1.0,-1.8369701987210297e-16
2022-08-22,-2.4492935982947064e-16,1.0
2022-08-29,1.0,3.061616997868383e-16
2022-09-05,1.0,6.123233995736766e-17
2022-09-12,1.2246467991473532e-16,-1.0
2022-09-19,-1.0,-1.8369701987210297e-16
2022-09-26,-2.4492935982947064e-16,1.0
2022-10-03,1.0,6.123233995736766e-17
2022-10-10,1.2246467991473532e-16,-1.0
