"iPhone","iMac","quarter","yearD","Rdenmark","Gdenmark","yearA","Raustralia","Caustralia"
NA,1.254,"Q1 '06",1985,0,0.02416932,1965,0,0.7273
NA,1.112,"Q2 '06",1986,0,0.04308444,1966,0,0.7538
NA,1.327,"Q3 '06",1987,0,0.05468121,1967,0,0.7749
NA,1.61,"Q4 '06",1988,0,0.06669081,1968,0,0.7981
NA,1.606,"Q1 '07",1989,0,0.07108182,1969,0,0.8254
NA,1.517,"Q2 '07",1990,0.008203,0.07577307,1970,0,0.8341
0.27,1.764,"Q3 '07",1991,0.010951,0.08746493231304,1971,0,0.83725
1.12,2.164,"Q4 '07",1992,0.014364,0.09196636045194,1972,0,0.87455
2.32,2.319,"Q1 '08",1993,0.017622,0.10334634921558,1973,0,0.91075
1.7,2.289,"Q2 '08",1994,0.017103997093737,0.11548095702939,1974,0,0.95065
0.72,2.496,"Q3 '08",1995,0.0182414045548524,0.13371913472094,1975,0,0.98115
6.89,2.611,"Q4 '08",1996,0.0205924430106839,0.1575177987582,1976,0,1.01445
4.36,2.524,"Q1 '09",1997,0.0291018684860719,0.16458807771,1977,0,1.05905
3.79,2.216,"Q2 '09",1998,0.0389845697601542,0.17747273589696,1978,0,1.0867
5.21,2.603,"Q3 '09",1999,0.0434878953016346,0.18609723449307,1979,0,1.13595
7.37,3.053,"Q4 '09",2000,0.0554200555966815,0.18366966300078,1980,0,1.16915
8.74,3.362,"Q1 '10",2001,0.0578099437687246,0.19193353184871,1981,0,1.1993
8.75,2.943,"Q2 '10",2002,0.066701494787031,0.193744639360224,1982,0,1.21205
8.4,3.472,"Q3 '10",2003,0.0790073788799604,0.195873035069675,1983,0,1.2116
14.1,3.885,"Q4 '10",2004,0.0925377595887941,0.194941055446431,1984,0,1.28125
16.24,4.134,"Q1 '11",2005,0.0948058745708877,0.187220096163797,1985,0,1.3253
18.65,3.76,"Q2 '11",2006,0.0884991297030784,0.19073846727978,1986,0,1.35895
20.34,3.947,"Q3 '11",2007,0.0985327503951124,0.170962606919737,1987,0,1.4161
17.07,4.894,"Q4 '11",2008,0.095958745583502,0.17177795826072,1988,0,1.48955
37.04,5.198,"Q1 '12",2009,0.0952642062489459,0.16498052222106,1989,0,1.56225
35.06,4.017,"Q2 '12",2010,0.117640074124717,0.18662322698592,1990,0,1.59965
26.03,4.02,"Q3 '12",2011,0.137539612834915,0.156505124133208,1991,5.45e-05,1.63175
26.91,4.923,"Q4 '12",2012,0.146330677269369,0.146170411691025,1992,0.000121,1.64145
47.79,4.061,"Q1 '13",2013,0.156025882175947,0.137872169843441,1993,0.000166,1.652
37.43,3.952,"Q2 '13",2014,0.174025369703637,0.118419776130977,1994,0.000229,1.68575
31.24,3.754,"Q3 '13",2015,0.181724758671935,0.119133093998572,1995,0.0002815,1.743
33.8,4.574,"Q4 '13",2016,0.176256130658501,0.121149117524144,1996,0.000326,1.81425
51.03,4.837,"Q1 '14",2017,0.206408002901713,0.116385111487645,1997,0.0003815,1.90605
43.72,4.136,"Q2 '14",2018,0.196286694498865,0.113045656158922,1998,0.000536,1.9911
35.2,4.413,"Q3 '14",2019,0.217371940693396,0.105098207005844,1999,0.000836,2.11452968617713
39.27,5.52,"Q4 '14",2020,0.211629392541547,0.08,2000,0.0018075,2.12970093303586
74.47,5.519,"Q1 '15",NA,NA,NA,2001,0.0033893474025974,2.10820279748354
61.17,4.563,"Q2 '15",NA,NA,NA,2002,0.00584213225806452,2.15566036412369
47.53,4.796,"Q3 '15",NA,NA,NA,2003,0.00752495192307692,2.21739917412207
48.05,5.709,"Q4 '15",NA,NA,NA,2004,0.00845836624203821,2.31058835258
74.78,5.312,"Q1 '16",NA,NA,NA,2005,0.0133933101265823,2.2972641059241
51.19,4.034,"Q2 '16",NA,NA,NA,2006,0.021743320754717,2.35948450638881
40.4,4.252,"Q3 '16",NA,NA,NA,2007,0.028360940625,2.33902214732813
45.51,4.886,"Q4 '16",NA,NA,NA,2008,0.0341888478260869,2.43799479850235
78.29,5.374,"Q1 '17",NA,NA,NA,2009,0.0446532580618871,2.357241931279
50.76,4.199,"Q2 '17",NA,NA,NA,2010,0.055968416368871,2.18638086081889
41.03,4.292,"Q3 '17",NA,NA,NA,2011,0.0790799771478729,2.13117138069037
46.68,5.386,"Q4 '17",NA,NA,NA,2012,0.0939976363636363,1.99583297668292
77.32,5.112,"Q1 '18",NA,NA,NA,2013,0.120799951807229,1.89423297689531
52.22,4.078,"Q2 '18",NA,NA,NA,2014,0.134942335329341,1.87855019450268
41.3,3.72,"Q3 '18",NA,NA,NA,2015,0.164337935336586,1.94526248855605
46.89,5.299,"Q4 '18",NA,NA,NA,2016,0.185602596951578,1.94398725500912
NA,NA,NA,NA,NA,NA,2017,0.199373941053389,1.87734281808931
NA,NA,NA,NA,NA,NA,2018,0.25670672618275,1.84454939330996
NA,NA,NA,NA,NA,NA,2019,0.33406793836037,1.78310999426089
NA,NA,NA,NA,NA,NA,2020,0.45,1.69
