feature,feature_type,score,n_encoded_columns,rank
education_unknown,categorical,-1.0577340958661807e-07,2,1
job_housemaid,categorical,-4.918358342820284e-08,2,2
job_self-employed,categorical,-4.26491908456228e-08,2,3
job_admin.,categorical,-3.0099801762162315e-08,2,4
job_student,categorical,0.0,2,5
job_services,categorical,0.0,2,6
contact_telephone,categorical,1.3783669317035674e-07,2,7
poutcome_other,categorical,1.561237539249305e-07,2,8
job_unemployed,categorical,1.6216463905038836e-07,2,9
job_retired,categorical,2.0256467792023614e-07,2,10
default,categorical,2.0824412416686755e-07,2,11
job_entrepreneur,categorical,2.128086720176725e-07,2,12
job_unknown,categorical,3.2841276720319e-07,2,13
job_blue-collar,categorical,4.5194624931355065e-07,2,14
marital_divorced,categorical,5.483957750129775e-07,2,15
poutcome_unknown,categorical,1.0057952977149398e-06,2,16
job_technician,categorical,1.165074138498312e-06,2,17
job_management,categorical,1.24197606510279e-06,2,18
poutcome_failure,categorical,3.7112670270289527e-06,2,19
education_primary,categorical,1.0205631951976102e-05,2,20
poutcome_success,categorical,2.05098076548893e-05,2,21
education_secondary,categorical,5.871871326235123e-05,2,22
marital_married,categorical,6.015444887452759e-05,2,23
education_tertiary,categorical,6.392215800588019e-05,2,24
marital_single,categorical,6.731427129125223e-05,2,25
contact_cellular,categorical,0.007127269869670272,2,26
contact_unknown,categorical,0.007399482652544975,2,27
loan,categorical,0.008072849363088608,2,28
housing,categorical,0.021244535222649574,2,29
pdays,numeric,0.061806030571460724,1,30
previous,numeric,0.16532838344573975,1,31
age,numeric,0.18534429371356964,1,32
campaign,numeric,0.26513975858688354,1,33
duration,numeric,0.3109626770019531,1,34
balance,numeric,0.3189213275909424,1,35
day,numeric,0.4235430359840393,1,36
