case,alt,choice,dist,cost,ivt,ovt,freq,income,urban,noalt
109,train,0,377,58.25,215,74,4,45,0,4
109,air,1,377,142.8,56,85,9,45,0,4
109,bus,0,377,27.52,301,63,8,45,0,4
109,car,0,377,71.63,262,0,0,45,0,4
110,train,0,377,58.25,215,74,4,70,0,4
110,air,1,377,142.8,56,85,9,70,0,4
110,bus,0,377,27.52,301,63,8,70,0,4
110,car,0,377,71.63,262,0,0,70,0,4
111,train,0,377,58.25,215,74,4,35,0,4
111,air,1,377,142.8,56,85,9,35,0,4
111,bus,0,377,27.52,301,63,8,35,0,4
111,car,0,377,71.63,262,0,0,35,0,4
112,train,0,377,58.25,215,74,4,70,0,4
112,air,1,377,142.8,56,85,9,70,0,4
112,bus,0,377,27.52,301,63,8,70,0,4
112,car,0,377,71.63,262,0,0,70,0,4
113,train,0,377,58.25,215,74,4,70,0,4
113,air,1,377,142.8,56,85,9,70,0,4
113,bus,0,377,27.52,301,63,8,70,0,4
113,car,0,377,71.63,262,0,0,70,0,4
114,train,0,377,58.25,215,74,4,55,0,4
114,air,1,377,142.8,56,85,9,55,0,4
114,bus,0,377,27.52,301,63,8,55,0,4
114,car,0,377,71.63,262,0,0,55,0,4
115,train,0,377,58.25,215,74,4,25,0,4
115,air,1,377,142.8,56,85,9,25,0,4
115,bus,0,377,27.52,301,63,8,25,0,4
115,car,0,377,71.63,262,0,0,25,0,4
116,train,0,377,58.25,215,74,4,70,0,4
116,air,1,377,142.8,56,85,9,70,0,4
116,bus,0,377,27.52,301,63,8,70,0,4
116,car,0,377,71.63,262,0,0,70,0,4
117,train,0,377,58.25,215,74,4,70,0,4
117,air,1,377,142.8,56,85,9,70,0,4
117,bus,0,377,27.52,301,63,8,70,0,4
117,car,0,377,71.63,262,0,0,70,0,4
118,train,0,377,58.25,215,74,4,45,0,4
118,air,1,377,142.8,56,85,9,45,0,4
118,bus,0,377,27.52,301,63,8,45,0,4
118,car,0,377,71.63,262,0,0,45,0,4
119,train,0,377,58.25,215,74,4,70,0,4
119,air,0,377,142.8,56,85,9,70,0,4
119,bus,0,377,27.52,301,63,8,70,0,4
119,car,1,377,71.63,262,0,0,70,0,4
120,train,0,377,58.25,215,74,4,25,0,4
120,air,0,377,142.8,56,85,9,25,0,4
120,bus,0,377,27.52,301,63,8,25,0,4
120,car,1,377,71.63,262,0,0,25,0,4
121,train,0,377,58.25,215,74,4,70,0,4
121,air,0,377,142.8,56,85,9,70,0,4
121,bus,0,377,27.52,301,63,8,70,0,4
121,car,1,377,71.63,262,0,0,70,0,4
122,train,0,377,58.25,215,74,4,45,0,4
122,air,0,377,142.8,56,85,9,45,0,4
122,bus,0,377,27.52,301,63,8,45,0,4
122,car,1,377,71.63,262,0,0,45,0,4
123,train,0,377,58.25,215,74,4,70,0,4
123,air,0,377,142.8,56,85,9,70,0,4
123,bus,0,377,27.52,301,63,8,70,0,4
123,car,1,377,71.63,262,0,0,70,0,4
124,train,0,377,58.25,215,74,4,15,0,4
124,air,0,377,142.8,56,85,9,15,0,4
124,bus,0,377,27.52,301,63,8,15,0,4
124,car,1,377,71.63,262,0,0,15,0,4
125,train,0,377,58.25,215,74,4,70,0,4
125,air,0,377,142.8,56,85,9,70,0,4
125,bus,0,377,27.52,301,63,8,70,0,4
125,car,1,377,71.63,262,0,0,70,0,4
126,train,0,377,58.25,215,74,4,55,0,4
126,air,0,377,142.8,56,85,9,55,0,4
126,bus,0,377,27.52,301,63,8,55,0,4
126,car,1,377,71.63,262,0,0,55,0,4
127,train,0,377,58.25,215,74,4,35,0,4
127,air,0,377,142.8,56,85,9,35,0,4
127,bus,0,377,27.52,301,63,8,35,0,4
127,car,1,377,71.63,262,0,0,35,0,4
128,train,0,377,58.25,215,74,4,35,0,4
128,air,0,377,142.8,56,85,9,35,0,4
128,bus,0,377,27.52,301,63,8,35,0,4
128,car,1,377,71.63,262,0,0,35,0,4
129,train,0,387,58.25,316,59,2,55,0,4
129,air,0,387,145.8,56,85,9,55,0,4
129,bus,0,387,26.67,301,58,8,55,0,4
129,car,1,387,73.53,251,0,0,55,0,4
130,train,0,387,58.25,316,59,2,45,0,4
130,air,0,387,145.8,56,85,9,45,0,4
130,bus,0,387,26.67,301,58,8,45,0,4
130,car,1,387,73.53,251,0,0,45,0,4
131,train,0,404,60.25,316,74,2,70,0,4
131,air,0,404,146.2,56,94,9,70,0,4
131,bus,0,404,26.67,301,93,8,70,0,4
131,car,1,404,76.76,265,0,0,70,0,4
132,train,1,365,60.85,237,94,4,70,1,4
132,air,0,365,151.2,56,77,9,70,1,4
132,bus,0,365,27.82,301,83,8,70,1,4
132,car,0,365,69.35,245,0,0,70,1,4
133,train,0,365,60.85,237,94,4,55,1,4
133,air,1,365,151.2,56,77,9,55,1,4
133,bus,0,365,27.82,301,83,8,55,1,4
133,car,0,365,69.35,245,0,0,55,1,4
134,train,0,365,60.85,237,94,4,55,1,4
134,air,1,365,151.2,56,77,9,55,1,4
134,bus,0,365,27.82,301,83,8,55,1,4
134,car,0,365,69.35,245,0,0,55,1,4
135,train,0,365,60.85,237,94,4,70,1,4
135,air,1,365,151.2,56,77,9,70,1,4
135,bus,0,365,27.82,301,83,8,70,1,4
135,car,0,365,69.35,245,0,0,70,1,4
136,train,0,365,60.85,237,94,4,70,1,4
136,air,0,365,151.2,56,77,9,70,1,4
136,bus,0,365,27.82,301,83,8,70,1,4
136,car,1,365,69.35,245,0,0,70,1,4
137,train,0,365,60.85,237,94,4,45,1,4
137,air,0,365,151.2,56,77,9,45,1,4
137,bus,0,365,27.82,301,83,8,45,1,4
137,car,1,365,69.35,245,0,0,45,1,4
138,train,0,365,60.85,237,94,4,70,1,4
138,air,0,365,151.2,56,77,9,70,1,4
138,bus,0,365,27.82,301,83,8,70,1,4
138,car,1,365,69.35,245,0,0,70,1,4
139,train,1,354,59,237,69,4,35,1,4
139,air,0,354,155.8,56,97,9,35,1,4
139,bus,0,354,27.34,301,68,8,35,1,4
