case,choice_air,choice_bus,choice_car,choice_train,cost_air,cost_bus,cost_car,cost_train,freq_air,freq_bus,freq_car,freq_train,ivt_air,ivt_bus,ivt_car,ivt_train,ovt_air,ovt_bus,ovt_car,ovt_train,income,chosen,chosen_encoded
109,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,45,air,0
110,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,air,0
111,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,35,air,0
112,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,air,0
113,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,air,0
114,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,55,air,0
115,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,25,air,0
116,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,air,0
117,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,air,0
118,1,0,0,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,45,air,0
119,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,car,2
120,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,25,car,2
121,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,car,2
122,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,45,car,2
123,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,car,2
124,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,15,car,2
125,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,70,car,2
126,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,55,car,2
127,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,35,car,2
128,0,0,1,0,142.8,27.52,71.63,58.25,9,8,0,4,56,301,262,215,85,63,0,74,35,car,2
129,0,0,1,0,145.8,26.67,73.53,58.25,9,8,0,2,56,301,251,316,85,58,0,59,55,car,2
130,0,0,1,0,145.8,26.67,73.53,58.25,9,8,0,2,56,301,251,316,85,58,0,59,45,car,2
