,obs,pred
2025-07-25 21:00:00,7680.744166666666,8396.073782020172
2025-07-25 22:00:00,7461.802500000001,7424.134986312186
2025-07-25 23:00:00,7594.689166666667,7262.8759740807845
2025-07-26 00:00:00,8092.9175,7754.228618339483
2025-07-26 01:00:00,9238.318333333336,8757.293154567438
2025-07-26 02:00:00,10478.425833333333,10210.638694480587
2025-07-26 03:00:00,10786.131666666666,10866.615316326961
2025-07-26 04:00:00,10756.775833333331,10544.693551073145
2025-07-26 05:00:00,10787.999166666666,10478.024748563712
2025-07-26 06:00:00,10880.443333333336,10582.385696016936
2025-07-26 07:00:00,11002.1025,10664.650300654648
2025-07-26 08:00:00,11222.834166666667,10782.750249269266
2025-07-26 09:00:00,11300.62,11067.378071446466
2025-07-26 10:00:00,11574.2975,11340.564199770999
2025-07-26 11:00:00,12288.609166666669,11972.648568673712
2025-07-26 12:00:00,12947.839166666668,12807.715331442221
2025-07-26 13:00:00,12885.783333333333,12638.615226280455
2025-07-26 14:00:00,12316.685833333337,11860.287108491308
2025-07-26 15:00:00,11671.659166666666,11242.654577038275
2025-07-26 16:00:00,10713.3975,10648.159695908225
2025-07-26 17:00:00,9809.223333333332,9785.219463493258
2025-07-26 18:00:00,9124.685833333331,9143.174574910787
2025-07-26 19:00:00,8599.676666666666,8700.822278466638
2025-07-26 20:00:00,8090.215833333333,8239.590550439185
2025-07-26 21:00:00,7642.556666666667,7628.601226113216
2025-07-26 22:00:00,7411.576666666667,7329.148236285786
2025-07-26 23:00:00,7505.990833333333,7428.631658289881
2025-07-27 00:00:00,7958.943333333334,8076.8515154503575
2025-07-27 01:00:00,9090.065833333334,8925.059808595532
2025-07-27 02:00:00,10298.855833333331,10155.009103634839
2025-07-27 03:00:00,10521.89,10571.274130401534
2025-07-27 04:00:00,10228.264166666666,9966.47341157804
2025-07-27 05:00:00,9632.0725,9544.159058239227
2025-07-27 06:00:00,9145.754166666668,9099.419504632351
2025-07-27 07:00:00,8835.985,8880.71520720147
2025-07-27 08:00:00,8615.881666666666,8787.264893153628
2025-07-27 09:00:00,8866.008333333333,8896.852900390873
2025-07-27 10:00:00,9546.2575,9623.390314485101
2025-07-27 11:00:00,10422.580833333332,10581.20852428032
2025-07-27 12:00:00,11353.099166666669,11356.981586796634
2025-07-27 13:00:00,11534.0925,11596.585191913246
2025-07-27 14:00:00,11229.895,11088.42860833961
2025-07-27 15:00:00,10784.17,10678.292729784614
2025-07-27 16:00:00,10042.488333333333,10119.395422861602
2025-07-27 17:00:00,9307.324166666667,9354.310607591005
2025-07-27 18:00:00,8688.775,8745.89396254824
2025-07-27 19:00:00,8257.34,8295.209520108256
2025-07-27 20:00:00,7864.233333333334,7986.068313770934
2025-07-27 21:00:00,7490.909166666667,7528.824648895328
2025-07-27 22:00:00,7336.802500000001,7326.910716206418
2025-07-27 23:00:00,7473.194166666667,7489.601328252034
2025-07-28 00:00:00,7960.3125,8123.051941569341
2025-07-28 01:00:00,8925.048333333334,8904.621316382807
