company_id,company_name,industry,employee_count,is_partner
C100000,Alpha Trust,Education,33,0
C100001,Beta Co.,Accounting,73,1
C100002,Pivot Nimbus Ltd,Education,15,0
C100003,Tui Ltd,Healthcare,1,0
C100004,Kauri Holdings,Legal,48,0
C100005,Tui Ltd,Software,42,0
C100006,Harbour Limited,Manufacturing,44,0
C100007,Wenita Limited,Accounting,1,0
C100008,Beta Holdings,Construction,1,0
C100009,Kea Rimu Trust,Construction,47,0
C100010,Wenita Rimu Group,Software,1,0
C100011,Atlas Partners,Accounting,87,0
C100012,Kea Harbour Trust,Construction,42,0
C100013,Atlas Services,Retail,94,0
C100014,Kauri Trust,Healthcare,25,0
C100015,Duncan Air Co.,Legal,63,0
C100016,Pivot Services,Construction,27,0
C100017,Atlas Harbour Limited,Retail,1,0
C100018,Pivot Trust,Accounting,18,0
C100019,Eurotec Partners,Construction,11,0
C100020,Alpha Wenita Trust,Healthcare,10,0
C100021,Pivot Holdings,Healthcare,24,0
C100022,Eurotec Duncan Air Ltd,Legal,10,0
C100023,Eurotec Trust,Education,26,1
C100024,Beta Limited,Software,58,0
C100025,Atlas Summit Group,Manufacturing,1,0
C100026,Rimu Holdings,Manufacturing,1,0
C100027,Summit Limited,Education,51,0
C100028,Nimbus Holdings,Education,72,1
C100029,Alpha Ohomairangi Partners,Construction,27,0
C100030,Summit Rimu Group,Software,26,0
C100031,Atlas Harbour Partners,Retail,58,0
C100032,Alpha Limited,Accounting,2,0
C100033,Rimu Pivot Services,Healthcare,40,0
C100034,Rimu Ohomairangi Limited,Software,46,0
C100035,Pivot Ltd,Construction,1,0
C100036,Kauri Co.,Software,1,0
C100037,Alpha Harbour Trust,Software,32,0
C100038,Wenita Services,Healthcare,32,1
C100039,Alpha Partners,Accounting,44,1
C100040,Duncan Air Group,Accounting,36,0
C100041,Atlas Holdings,Retail,22,0
C100042,Rimu Ltd,Construction,1,0
C100043,Rimu Partners,Education,44,0
C100044,Atlas Tui Services,Legal,88,1
C100045,Nimbus Limited,Construction,1,0
C100046,Kauri Partners,Construction,45,0
C100047,Wenita Trust,Accounting,5,0
C100048,Duncan Air Limited,Healthcare,19,0
C100049,Tui Nimbus Holdings,Legal,87,0
C100050,Tui Services,Manufacturing,73,0
C100051,Tui Ltd,Accounting,1,0
C100052,Tui Kauri Services,Retail,11,0
C100053,Kauri Ltd,Legal,19,0
C100054,Kauri Alpha Trust,Legal,68,0
C100055,Rimu Holdings,Construction,1,0
C100056,Ohomairangi Co.,Healthcare,44,0
C100057,Kauri Co.,Accounting,15,0
C100058,Eurotec Co.,Education,19,0
C100059,Ohomairangi Services,Education,77,0
C100060,Kea Trust,Education,32,0
C100061,Beta Eurotec Trust,Legal,68,0
C100062,Ohomairangi Partners,Accounting,84,0
C100063,Tui Ltd,Construction,77,0
C100064,Eurotec Partners,Retail,1,0
C100065,Tui Ltd,Retail,2,1
C100066,Pivot Holdings,Legal,1,0
C100067,Atlas Limited,Manufacturing,55,0
C100068,Kea Co.,Manufacturing,6,0
C100069,Wenita Group,Manufacturing,18,0
C100070,Tui Trust,Education,1,0
C100071,Summit Holdings,Software,41,0
C100072,Wenita Group,Construction,15,0
C100073,Eurotec Rimu Trust,Education,68,0
C100074,Alpha Rimu Services,Construction,1,0
C100075,Harbour Services,Retail,42,0
C100076,Alpha Limited,Retail,35,0
C100077,Pivot Holdings,Construction,78,0
C100078,Atlas Partners,Software,1,0
C100079,Pivot Services,Healthcare,1,0
C100080,Tui Holdings,Manufacturing,28,0
C100081,Beta Wenita Trust,Education,1,0
C100082,Pivot Limited,Healthcare,42,0
C100083,Harbour Harbour Partners,Software,48,0
C100084,Harbour Harbour Ltd,Retail,1,0
C100085,Duncan Air Co.,Education,35,0
C100086,Summit Alpha Co.,Legal,1,0
C100087,Duncan Air Group,Accounting,1,0
C100088,Atlas Ltd,Construction,14,0
C100089,Harbour Kea Holdings,Software,12,0
C100090,Harbour Trust,Retail,24,1
C100091,Kea Holdings,Construction,37,0
C100092,Eurotec Ltd,Education,26,0
C100093,Atlas Beta Holdings,Software,30,0
C100094,Kauri Limited,Healthcare,38,1
C100095,Atlas Co.,Retail,21,0
C100096,Nimbus Wenita Holdings,Construction,16,0
C100097,Eurotec Ltd,Legal,1,0
C100098,Beta Partners,Accounting,57,0
C100099,Atlas Services,Healthcare,1,0
C100100,Atlas Trust,Software,1,0
C100101,Rimu Limited,Manufacturing,37,0
C100102,Summit Nimbus Co.,Legal,82,0
C100103,Eurotec Tui Partners,Manufacturing,35,0
C100104,Tui Ltd,Education,66,0
C100105,Wenita Services,Software,49,0
C100106,Tui Rimu Co.,Education,11,0
C100107,Harbour Partners,Legal,62,0
C100108,Tui Rimu Limited,Education,5,0
C100109,Rimu Holdings,Software,70,0
C100110,Eurotec Trust,Construction,37,0
C100111,Wenita Group,Manufacturing,3,1
C100112,Tui Wenita Group,Software,28,0
C100113,Kea Group,Accounting,27,0
C100114,Beta Limited,Retail,1,0
C100115,Eurotec Nimbus Trust,Construction,27,0
C100116,Eurotec Harbour Holdings,Retail,1,0
C100117,Tui Ltd,Construction,34,0
C100118,Rimu Tui Limited,Healthcare,27,0
C100119,Wenita Services,Manufacturing,62,1
C100120,Tui Wenita Services,Construction,1,0
C100121,Atlas Holdings,Retail,1,0
C100122,Kauri Duncan Air Trust,Healthcare,41,0
C100123,Nimbus Trust,Software,32,0
C100124,Wenita Co.,Manufacturing,1,0
C100125,Harbour Wenita Partners,Manufacturing,24,1
C100126,Atlas Ohomairangi Ltd,Manufacturing,1,0
C100127,Summit Trust,Healthcare,1,0
