deal_id,company_id,deal_created_date,deal_close_date,status,product_code,product_name,channel,owner,deal_mrr,reopened_flag
D200000,C101717,2024-01-15,2024-02-08,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,1072,0
D200001,C101897,2024-12-28,2025-02-04,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1239,0
D200002,C101403,2025-06-19,2025-08-07,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,dinkster,102,0
D200003,C101438,2025-07-03,2025-07-24,Closed Won,PM,People Management,Partners,awong,2063,0
D200004,C104426,2025-04-16,2025-05-08,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,2544,0
D200005,C103936,2025-02-02,2025-04-13,Closed Won,PM,People Management,Direct,mkoenen,1635,0
D200006,C100051,2025-06-01,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,0,0
D200007,C104398,2024-08-21,,Open,PM,People Management,Partners,unassigned,917,0
D200008,C101580,2024-05-12,,Open,ADD_ON_TKR,TKR Add-on,Partners,unassigned,791,0
D200009,C103848,2024-08-11,2024-08-28,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1076,0
D200010,C103671,2024-01-24,2024-02-14,Closed Won,PM,People Management,Direct,unassigned,513,0
D200011,C101826,2025-04-05,,Open,ADD_ON_TKR,TKR Add-on,Direct,dinkster,1544,0
D200012,C100566,2025-01-03,,Open,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,43,0
D200013,C104986,2024-01-11,2024-02-16,Closed Won,PM,People Management,Partners,mkoenen,1001,0
D200014,C101335,2024-10-17,2024-11-29,Closed Won,PM,People Management,Partners,unassigned,1936,0
D200015,C104773,2024-10-12,,Open,ADD_ON_TKR,TKR Add-on,Partners,awong,115,0
D200016,C100484,2024-03-28,2024-04-04,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,4475,0
D200017,C104458,2024-08-17,2024-10-11,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,3966,0
D200018,C101789,2024-07-30,2024-08-25,Closed Won,PM,People Management,Partners,mkoenen,856,0
D200019,C103120,2025-01-09,2025-04-04,Closed Lost,PM,People Management,Partners,unassigned,1311,0
D200020,C102790,2024-12-17,2025-02-03,Closed Lost,PM,People Management,Direct,dinkster,975,0
D200021,C103629,2024-04-27,2024-06-13,Closed Won,PM,People Management,Direct,dt,650,0
D200022,C103006,2024-05-26,,Open,PAYROLL_DIY,Payroll DIY,Partners,unassigned,245,0
D200023,C100788,2024-03-09,2024-04-02,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,dinkster,1793,0
D200024,C101675,2024-02-11,,Open,PAYROLL_MPS,Managed Payroll,Partners,unassigned,4092,0
D200025,C101159,2024-11-03,,Open,PAYROLL_MPS,Managed Payroll,Partners,unassigned,5608,0
D200026,C102330,2024-10-19,2025-01-17,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,4321,0
D200027,C104519,2024-02-09,2024-05-04,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,3773,0
D200028,C103919,2024-09-15,2024-12-08,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster_tmp,1538,0
D200029,C102478,2024-08-26,2024-10-30,Closed Won,PM,People Management,Partners,awong,933,0
D200030,C103782,2025-03-13,2025-03-25,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,4335,0
D200031,C101669,2025-05-29,2025-06-27,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1288,0
D200032,C100415,2025-06-24,2025-09-07,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,dinkster,1186,0
D200033,C100295,2025-06-09,2025-09-03,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,6035,0
D200034,C101241,2024-08-27,,Open,ADD_ON_TKR,TKR Add-on,Partners,awong,652,0
D200035,C100092,2024-08-10,2024-10-22,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,dt,451,0
D200036,C100247,2024-04-24,2024-05-21,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,2338,0
D200037,C103889,2025-02-04,2025-04-09,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,567,0
D200038,C103091,2024-08-01,2024-08-05,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,1832,0
D200039,C103600,2024-02-01,,Open,ADD_ON_TKR,TKR Add-on,Direct,awong,159,0
