invoice_id,company_id,deal_id,invoice_date,product_code,product_name,line_amount_nzd,total_amount_nzd,notes
INV300000,C101717,D200000,2024-03-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300001,C101717,D200000,2024-04-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300002,C101717,D200000,2024-05-01,ADD_ON_TKR,TKR Add-on,0,0,free_trial
INV300003,C101717,D200000,2024-06-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300004,C101717,D200000,2024-07-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300005,C101717,D200000,2024-08-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300006,C101717,D200000,2024-09-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300007,C101717,D200000,2024-10-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300008,C101717,D200000,2024-11-01,ADD_ON_TKR,TKR Add-on,1029,1029,
INV300009,C101897,D200001,2025-02-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300010,C101897,D200001,2025-03-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300011,C101897,D200001,2025-04-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300012,C101897,D200001,2025-05-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300013,C101897,D200001,2025-06-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300014,C101897,D200001,2025-07-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300015,C101897,D200001,2025-08-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300016,C101897,D200001,2025-09-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300017,C101897,D200001,2025-10-01,PAYROLL_DIY,Payroll DIY,893,893,
INV300018,C101438,D200003,2025-08-01,PM,People Management,2131,2762,
INV300018,C101438,D200003,2025-08-01,ADD_ON_TKR,TKR Add-on,631,2762,addon
INV300019,C101438,D200003,2025-09-01,PM,People Management,936,936,credit
INV300020,C101438,D200003,2025-10-01,PM,People Management,2131,2131,
INV300021,C101438,D200003,2025-11-01,PM,People Management,2131,2131,
INV300022,C101438,D200003,2025-12-01,PM,People Management,2131,2131,
INV300023,C101438,D200003,2026-01-01,PM,People Management,2131,2131,
INV300024,C104426,D200004,2025-05-01,PAYROLL_MPS,Managed Payroll,1901,1901,
INV300025,C104426,D200004,2025-06-01,PAYROLL_MPS,Managed Payroll,1240,1240,credit
INV300026,C104426,D200004,2025-07-01,PAYROLL_MPS,Managed Payroll,1901,1901,
INV300027,C104426,D200004,2025-08-01,PAYROLL_MPS,Managed Payroll,1901,1901,
INV300028,C104426,D200004,2025-09-01,PAYROLL_MPS,Managed Payroll,1287,1287,credit
INV300029,C104426,D200004,2025-10-01,PAYROLL_MPS,Managed Payroll,1901,1901,
INV300030,C103936,D200005,2025-04-01,PM,People Management,1604,1604,
INV300031,C103936,D200005,2025-05-01,PM,People Management,1604,1604,
INV300032,C103936,D200005,2025-06-01,PM,People Management,1604,1604,
INV300033,C103936,D200005,2025-07-01,PM,People Management,1604,1604,
INV300034,C103936,D200005,2025-08-01,PM,People Management,1604,1604,
