deal_id,company_id,deal_created_date,deal_close_date,status,product_code,product_name,channel,owner,deal_mrr,reopened_flag,company_name,industry,employee_count,is_partner,first_invoice_date
D200000,C101717,15/01/2024,8/02/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,1072,0,Duncan Air Atlas Group,Manufacturing,21,0,1/03/2024
D200001,C101897,28/12/2024,4/02/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1239,0,Tui Holdings,Accounting,41,0,1/02/2025
D200002,C101403,19/06/2025,7/08/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Direct,dinkster,102,0,Alpha Atlas Ltd,Construction,29,0,
D200003,C101438,3/07/2025,24/07/2025,Closed Won,PM,People Management,Partners,awong,2063,0,Kauri Co.,Retail,17,1,1/08/2025
D200004,C104426,16/04/2025,8/05/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,awong,2544,0,Rimu Holdings,Construction,2,0,1/05/2025
D200005,C103936,2/02/2025,13/04/2025,Closed Won,PM,People Management,Direct,mkoenen,1635,0,Nimbus Co.,Retail,17,0,1/04/2025
D200006,C100051,1/06/2025,,Open,ADD_ON_TKR,TKR Add-on,Partners,dt,0,0,Tui Ltd,Accounting,1,0,1/11/2024
D200007,C104398,21/08/2024,,Open,PM,People Management,Partners,unassigned,917,0,Rimu Partners,Healthcare,76,0,1/08/2025
D200008,C101580,12/05/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,unassigned,791,0,Nimbus Limited,Healthcare,1,0,1/04/2025
D200009,C103848,11/08/2024,28/08/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1076,0,Eurotec Co.,Construction,8,0,1/09/2024
D200010,C103671,24/01/2024,14/02/2024,Closed Won,PM,People Management,Direct,unassigned,513,0,Pivot Wenita Holdings,Construction,1,0,1/02/2024
D200011,C101826,5/04/2025,,Open,ADD_ON_TKR,TKR Add-on,Direct,dinkster,1544,0,Rimu Limited,Legal,39,0,1/09/2025
D200012,C100566,3/01/2025,,Open,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,43,0,Pivot Atlas Services,Legal,1,0,1/08/2024
D200013,C104986,11/01/2024,16/02/2024,Closed Won,PM,People Management,Partners,mkoenen,1001,0,Nimbus Services,Software,50,0,1/03/2024
D200014,C101335,17/10/2024,29/11/2024,Closed Won,PM,People Management,Partners,unassigned,1936,0,Wenita Limited,Retail,82,0,1/12/2024
D200015,C104773,12/10/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,awong,115,0,Eurotec Services,Accounting,18,0,1/03/2024
D200016,C100484,28/03/2024,4/04/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dt,4475,0,Eurotec Co.,Legal,15,1,1/04/2024
D200017,C104458,17/08/2024,11/10/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,3966,0,Pivot Pivot Services,Software,20,0,1/11/2024
D200018,C101789,30/07/2024,25/08/2024,Closed Won,PM,People Management,Partners,mkoenen,856,0,Tui Trust,Accounting,37,0,1/09/2024
D200019,C103120,9/01/2025,4/04/2025,Closed Lost,PM,People Management,Partners,unassigned,1311,0,Tui Services,Manufacturing,1,1,
D200020,C102790,17/12/2024,3/02/2025,Closed Lost,PM,People Management,Direct,dinkster,975,0,Rimu Trust,Software,33,0,
D200021,C103629,27/04/2024,13/06/2024,Closed Won,PM,People Management,Direct,dt,650,0,Pivot Holdings,Construction,15,0,1/07/2024
D200022,C103006,26/05/2024,,Open,PAYROLL_DIY,Payroll DIY,Partners,unassigned,245,0,Beta Group,Retail,13,0,1/02/2025
D200023,C100788,9/03/2024,2/04/2024,Closed Lost,PAYROLL_DIY,Payroll DIY,Partners,dinkster,1793,0,Alpha Nimbus Co.,Software,1,0,
D200024,C101675,11/02/2024,,Open,PAYROLL_MPS,Managed Payroll,Partners,unassigned,4092,0,Tui Limited,Construction,31,0,1/07/2025
D200025,C101159,3/11/2024,,Open,PAYROLL_MPS,Managed Payroll,Partners,unassigned,5608,0,Alpha Services,Legal,7,0,1/08/2025
D200026,C102330,19/10/2024,17/01/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,4321,0,Alpha Co.,Accounting,74,0,1/02/2025
D200027,C104519,9/02/2024,4/05/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,3773,0,Atlas Services,Manufacturing,46,0,1/05/2024
D200028,C103919,15/09/2024,8/12/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster_tmp,1538,0,Harbour Harbour Services,Accounting,38,0,1/01/2025
D200029,C102478,26/08/2024,30/10/2024,Closed Won,PM,People Management,Partners,awong,933,0,Atlas Rimu Services,Accounting,81,0,1/12/2024
D200030,C103782,13/03/2025,25/03/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,4335,0,Beta Trust,Retail,73,0,1/04/2025
D200031,C101669,29/05/2025,27/06/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1288,0,Summit Co.,Education,40,0,1/07/2025
D200032,C100415,24/06/2025,7/09/2025,Closed Lost,ADD_ON_TKR,TKR Add-on,Partners,dinkster,1186,0,Beta Tui Services,Legal,1,0,
D200033,C100295,9/06/2025,3/09/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,6035,0,Kauri Group,Legal,36,0,1/10/2025
D200034,C101241,27/08/2024,,Open,ADD_ON_TKR,TKR Add-on,Partners,awong,652,0,Ohomairangi Services,Construction,19,0,1/04/2025
D200035,C100092,10/08/2024,22/10/2024,Closed Lost,PAYROLL_DIY,Payroll DIY,Direct,dt,451,0,Eurotec Ltd,Education,26,0,
D200036,C100247,24/04/2024,21/05/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,2338,0,Kea Limited,Accounting,16,0,1/06/2024
