deal_id,company_id,deal_created_date,deal_close_date,status,product_code,product_name,channel,owner,deal_mrr,reopened_flag,company_name,industry,employee_count,is_partner,first_invoice_date,event_occurred,time_to_invoice
D200000,C101717,15/01/2024,8/02/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,mkoenen,1072,0,Duncan Air Atlas Group,Manufacturing,21,0,1/03/2024,1,22
D200003,C101438,3/07/2025,24/07/2025,Closed Won,PM,People Management,Partners,awong,2063,0,Kauri Co.,Retail,17,1,1/08/2025,1,8
D200009,C103848,11/08/2024,28/08/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,1076,0,Eurotec Co.,Construction,8,0,1/09/2024,1,4
D200013,C104986,11/01/2024,16/02/2024,Closed Won,PM,People Management,Partners,mkoenen,1001,0,Nimbus Services,Software,50,0,1/03/2024,1,14
D200014,C101335,17/10/2024,29/11/2024,Closed Won,PM,People Management,Partners,unassigned,1936,0,Wenita Limited,Retail,82,0,1/12/2024,1,2
D200017,C104458,17/08/2024,11/10/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,3966,0,Pivot Pivot Services,Software,20,0,1/11/2024,1,21
D200018,C101789,30/07/2024,25/08/2024,Closed Won,PM,People Management,Partners,mkoenen,856,0,Tui Trust,Accounting,37,0,1/09/2024,1,7
D200021,C103629,27/04/2024,13/06/2024,Closed Won,PM,People Management,Direct,dt,650,0,Pivot Holdings,Construction,15,0,1/07/2024,1,18
D200026,C102330,19/10/2024,17/01/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,mkoenen,4321,0,Alpha Co.,Accounting,74,0,1/02/2025,1,15
D200028,C103919,15/09/2024,8/12/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster_tmp,1538,0,Harbour Harbour Services,Accounting,38,0,1/01/2025,1,24
D200029,C102478,26/08/2024,30/10/2024,Closed Won,PM,People Management,Partners,awong,933,0,Atlas Rimu Services,Accounting,81,0,1/12/2024,1,32
D200030,C103782,13/03/2025,25/03/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,shao,4335,0,Beta Trust,Retail,73,0,1/04/2025,1,7
D200031,C101669,29/05/2025,27/06/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1288,0,Summit Co.,Education,40,0,1/07/2025,1,4
D200033,C100295,9/06/2025,3/09/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,dinkster,6035,0,Kauri Group,Legal,36,0,1/10/2025,1,28
D200036,C100247,24/04/2024,21/05/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Direct,shao,2338,0,Kea Limited,Accounting,16,0,1/06/2024,1,11
D200040,C104976,14/10/2024,30/12/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,1244,0,Wenita Holdings,Manufacturing,4,1,1/01/2025,1,2
D200041,C100885,21/11/2024,23/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,2962,0,Rimu Partners,Software,27,0,1/01/2025,1,39
D200043,C101401,6/09/2024,22/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,shao,1039,0,Beta Trust,Construction,49,0,1/01/2025,1,40
D200046,C103247,16/07/2024,16/08/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,790,0,Pivot Trust,Construction,98,0,1/09/2024,1,16
D200048,C100865,13/04/2025,5/05/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,mkoenen,760,0,Kea Partners,Retail,1,0,1/06/2025,1,27
D200049,C100651,13/01/2025,24/03/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,1792,0,Beta Limited,Accounting,7,0,1/04/2025,1,8
D200050,C100835,10/11/2024,14/11/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,awong,1382,0,Duncan Air Group,Legal,22,1,1/12/2024,1,17
D200052,C101896,26/05/2025,30/06/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,dinkster,1271,0,Harbour Ohomairangi Limited,Accounting,1,0,1/08/2025,1,32
D200053,C103360,10/03/2025,9/04/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,1223,0,Duncan Air Wenita Holdings,Healthcare,12,0,1/05/2025,1,22
D200055,C104344,25/08/2024,18/11/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,0,0,Pivot Holdings,Accounting,52,0,1/12/2024,1,13
D200056,C104952,28/03/2024,14/05/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,awong,2248,0,Tui Rimu Holdings,Retail,63,0,1/06/2024,1,18
D200062,C100746,17/02/2024,14/04/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,dt,1286,0,Tui Trust,Retail,20,0,1/05/2024,1,17
D200063,C100613,2/09/2024,7/10/2024,Closed Won,PM,People Management,Partners,awong,434,0,Ohomairangi Holdings,Software,1,0,1/11/2024,1,25
D200066,C100678,15/12/2024,1/01/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,awong,-1509,0,Eurotec Partners,Retail,1,1,1/02/2025,1,31
D200074,C100382,8/09/2024,16/09/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dt,1022,0,Beta Kea Co.,Legal,48,0,1/10/2024,1,15
D200075,C104217,28/08/2024,2/10/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,mkoenen,651,0,Alpha Trust,Legal,30,1,1/11/2024,1,30
D200076,C103357,21/12/2024,20/02/2025,Closed Won,PM,People Management,Partners,dinkster,660,0,Wenita Wenita Services,Healthcare,44,0,1/03/2025,1,9
D200077,C101312,29/05/2025,13/08/2025,Closed Won,PM,People Management,Partners,mkoenen_tmp,1466,0,Ohomairangi Rimu Co.,Education,3,0,1/09/2025,1,19
D200078,C101084,1/06/2024,27/07/2024,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,dt,5042,0,Harbour Services,Software,43,0,1/08/2024,1,5
D200082,C103343,1/08/2024,4/10/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,shao,433,0,Kauri Services,Construction,1,0,1/11/2024,1,28
D200084,C103862,24/02/2024,23/05/2024,Closed Won,PM,People Management,Direct,unassigned,2166,0,Summit Limited,Legal,4,0,1/06/2024,1,9
D200086,C103988,13/01/2024,11/02/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,dt,331,0,Summit Limited,Software,1,0,1/03/2024,1,19
D200087,C104680,29/01/2025,23/04/2025,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,dinkster,323,0,Eurotec Atlas Group,Legal,40,0,1/05/2025,1,8
D200089,C101623,14/03/2025,30/04/2025,Closed Won,PAYROLL_MPS,Managed Payroll,Partners,unassigned,4468,0,Nimbus Co.,Healthcare,65,0,1/05/2025,1,1
D200092,C103558,20/06/2025,14/09/2025,Closed Won,PAYROLL_DIY,Payroll DIY,Partners,unassigned,784,0,Duncan Air Services,Healthcare,22,0,1/10/2025,1,17
D200093,C104357,14/03/2025,25/05/2025,Closed Won,PM,People Management,Direct,nobody,1224,0,Tui Wenita Co.,Retail,2,0,1/06/2025,1,7
D200094,C101383,5/06/2024,21/07/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Direct,unassigned,615,0,Beta Partners,Healthcare,32,0,1/08/2024,1,11
D200096,C103849,29/02/2024,28/03/2024,Closed Won,PAYROLL_DIY,Payroll DIY,Direct,shao,1029,0,Summit Ltd,Retail,23,0,1/05/2024,1,34
D200099,C100273,11/01/2024,18/03/2024,Closed Won,ADD_ON_TKR,TKR Add-on,Partners,unassigned,978,0,Atlas Limited,Software,1,0,1/04/2024,1,14
D200102,C102227,4/03/2025,17/05/2025,Closed Won,PM,People Management,Partners,mkoenen,1932,0,Beta Partners,Construction,26,1,1/06/2025,1,15
