UMAP_1,UMAP_2,kmeans_cluster
0.6716653,-1.5954064,2
12.966374,-2.2046156,4
17.759085,2.790863,0
2.4587479,-3.7774677,2
6.536955,7.343396,5
0.62944967,-2.1973414,2
19.14977,6.1062856,0
-7.3752756,4.664265,1
8.302768,-6.0193214,2
12.976834,-2.2229948,4
6.615995,0.4373269,2
12.351787,-2.4319015,4
2.7293608,-5.197368,2
2.4771352,-3.7052016,2
2.9883447,-5.5719976,2
8.4401865,-6.0100346,2
11.937769,-1.499006,4
8.697134,-6.0401626,2
8.336332,-6.053313,2
2.850174,-6.2505903,2
17.792795,2.5344896,0
0.49164805,-2.1253645,2
18.234264,6.324087,0
2.7987862,-6.105069,2
17.725649,4.1440763,0
2.6481984,-5.300219,2
10.441812,0.48834327,4
17.784527,3.0814116,0
12.882806,-2.3614197,4
18.289427,6.7085056,0
15.329758,5.6388497,0
0.4988724,-2.1581743,2
18.034573,3.1202886,0
2.1529343,-4.8921576,2
0.9596241,-1.2356117,2
6.478318,0.47519895,2
1.9025425,-5.4844546,2
-0.43213642,6.3897552,1
6.487363,0.32482293,2
12.359363,-2.3917477,4
6.6711903,0.31985182,2
2.4802675,-5.1224422,2
2.4384696,-3.7054615,2
2.8458261,-4.622058,2
2.6057339,-3.7719798,2
11.080695,-1.9760022,4
0.45478565,-1.9127429,2
2.7593634,-5.2479544,2
9.575509,7.5706935,5
10.50963,0.55879796,4
2.1910641,-4.9066315,2
5.020617,0.691624,2
0.6488927,-2.2191362,2
12.623665,-2.3093486,4
18.252476,6.752286,0
16.51848,7.344643,0
10.408256,0.44253716,4
2.4566693,-3.7275994,2
11.909532,-1.4808419,4
8.610827,-5.2264524,2
0.64631283,-2.1090465,2
6.3865223,0.34209508,2
8.640535,-6.035406,2
2.810144,-6.042527,2
2.507685,-3.727429,2
0.7694531,-1.6714425,2
1.3315649,9.447671,1
5.0095425,0.6647269,2
2.9057975,-5.1042485,2
18.34086,6.533944,0
18.047832,3.0014315,0
17.618486,2.852274,0
17.790503,3.1058772,0
8.569784,-5.9730124,2
2.8264875,-5.0231867,2
2.7202277,-5.265539,2
15.301687,5.7165813,0
9.564377,7.57723,5
17.814514,5.322367,0
-7.430756,4.6390853,1
12.441544,-2.3230221,4
9.568336,7.581367,5
13.023295,-2.1908917,4
